from_web_code,from_web_name,from_stop_id,to_web_code,to_web_name,to_stop_id,peak_fare,low_fare,senior_fare,dist,time
6,Dupont Circle,4956,102,Dunn Loring-Merrifield,11602,4.7,3.5,2.35,11.83,36.0
6,Dupont Circle,4956,100,East Falls Church,12282,3.55,2.75,1.75,7.73,29.0
6,Dupont Circle,4956,60,Eastern Market,6479,2.25,1.8,1.1,3.5,20.0
6,Dupont Circle,4956,49,Eisenhower Avenue,9880,4.0,2.75,2.0,9.39,33.0
6,Dupont Circle,4956,4,Farragut North,5635,2.1,1.7,1.05,0.51,2.0
6,Dupont Circle,4956,38,Farragut West,7932,2.1,1.7,1.05,1.37,11.0
6,Dupont Circle,4956,58,Federal Center SW,7333,2.1,1.7,1.05,2.54,16.0
6,Dupont Circle,4956,53,Federal Triangle,7671,2.1,1.7,1.05,1.49,10.0
6,Dupont Circle,4956,40,Foggy Bottom-GWU,8040,2.1,1.7,1.05,1.69,13.0
6,Dupont Circle,4956,32,Forest Glen,21029,4.0,2.75,2.0,9.42,25.0
6,Dupont Circle,4956,28,Fort Totten,5305,2.75,2.05,1.35,5.12,16.0
6,Dupont Circle,4956,95,Franconia-Springfield,14816,5.55,3.5,2.75,14.88,44.0
6,Dupont Circle,4956,11,Friendship Heights,4364,2.5,2.0,1.25,4.25,10.0
6,Dupont Circle,4956,21,Gallery Pl-Chinatown,7474,2.1,1.7,1.05,1.47,5.0
6,Dupont Circle,4956,76,Georgia Ave-Petworth,25553,2.25,1.8,1.1,3.49,21.0
6,Dupont Circle,4956,34,Glenmont,16051,4.95,3.5,2.45,12.76,32.0
6,Dupont Circle,4956,80,Greenbelt,11731,4.75,3.5,2.35,12.12,31.0
6,Dupont Circle,4956,14,Grosvenor-Strathmore,3542,3.95,2.75,1.95,9.16,18.0
6,Dupont Circle,4956,50,Huntington,10776,4.15,2.75,2.05,9.9,34.0
6,Dupont Circle,4956,23,Judiciary Square,12874,2.1,1.7,1.05,1.84,6.0
6,Dupont Circle,4956,48,King St-Old Town,13995,3.85,2.75,1.9,8.78,31.0
6,Dupont Circle,4956,82,L'Enfant Plaza,5017,2.1,1.7,1.05,2.28,14.0
6,Dupont Circle,4956,67,Landover,2124,4.1,2.75,2.05,9.78,33.0
6,Dupont Circle,4956,109,Largo Town Center,4697,4.7,3.5,2.35,11.93,38.0
6,Dupont Circle,4956,36,McPherson Square,7812,2.1,1.7,1.05,1.28,10.0
6,Dupont Circle,4956,13,Medical Center,2640,3.3,2.05,1.65,6.96,15.0
6,Dupont Circle,4956,1,Metro Center,7588,2.1,1.7,1.05,1.22,4.0
6,Dupont Circle,4956,64,Minnesota Ave,25426,3.15,2.05,1.55,6.3,26.0
6,Dupont Circle,4956,110,Morgan Boulevard,4664,4.35,3.4,2.15,10.68,35.0
6,Dupont Circle,4956,70,Mt Vernon Sq 7th St-Convention Center,10344,2.1,1.7,1.05,1.67,13.0
6,Dupont Circle,4956,84,Navy Yard-Ballpark,5759,2.25,1.8,1.1,3.49,18.0
6,Dupont Circle,4956,87,Naylor Road,7686,3.45,2.7,1.7,7.44,28.0
6,Dupont Circle,4956,68,New Carrollton,2658,4.5,3.5,2.25,11.13,36.0
6,Dupont Circle,4956,108,NoMa-Gallaudet,4567,2.1,1.7,1.05,2.73,9.0
6,Dupont Circle,4956,43,Pentagon,12928,2.35,1.9,1.15,3.83,19.0
6,Dupont Circle,4956,44,Pentagon City,12930,2.55,2.05,1.25,4.42,20.0
6,Dupont Circle,4956,61,Potomac Ave,6553,2.45,1.95,1.2,4.11,22.0
6,Dupont Circle,4956,78,Prince George's Plaza,3034,3.6,2.75,1.8,7.95,25.0
6,Dupont Circle,4956,26,Rhode Island Ave-Brentwood,6671,2.25,1.8,1.1,3.52,11.0
6,Dupont Circle,4956,17,Rockville,7993,5.15,3.5,2.55,13.59,26.0
6,Dupont Circle,4956,93,Ronald Reagan Washington National Airport,9838,2.8,2.05,1.4,5.29,24.0
6,Dupont Circle,4956,41,Rosslyn,11332,2.1,1.7,1.05,2.88,16.0
6,Dupont Circle,4956,18,Shady Grove,9360,5.75,3.5,2.85,16.26,30.0
6,Dupont Circle,4956,72,Shaw-Howard U,308,2.1,1.7,1.05,1.91,14.0
6,Dupont Circle,4956,31,Silver Spring,20078,3.55,2.75,1.75,7.86,22.0
6,Dupont Circle,4956,54,Smithsonian,12906,2.1,1.7,1.05,1.83,8.0
6,Dupont Circle,4956,107,Southern Avenue,7681,3.25,2.05,1.6,6.73,25.0
6,Dupont Circle,4956,63,Stadium-Armory,5110,2.6,2.05,1.3,4.57,23.0
6,Dupont Circle,4956,88,Suitland,10142,3.8,2.75,1.9,8.76,30.0
6,Dupont Circle,4956,29,Takoma,6963,3.2,2.05,1.6,6.62,19.0
6,Dupont Circle,4956,10,Tenleytown-AU,5660,2.25,1.8,1.1,3.48,8.0
6,Dupont Circle,4956,16,Twinbrook,3969,4.65,3.5,2.3,11.64,23.0
6,Dupont Circle,4956,73,U Street/African-Amer Civil War Memorial/Cardozo,1418,2.1,1.7,1.05,2.05,16.0
6,Dupont Circle,4956,25,Union Station,12872,2.1,1.7,1.05,2.37,8.0
6,Dupont Circle,4956,94,Van Dorn Street,10352,4.6,3.5,2.3,11.56,40.0
6,Dupont Circle,4956,9,Van Ness-UDC,4941,2.1,1.7,1.05,2.53,6.0
6,Dupont Circle,4956,103,Vienna/Fairfax-GMU,11610,5.35,3.5,2.65,14.31,40.0
6,Dupont Circle,4956,98,Virginia Square-GMU,12922,2.7,2.05,1.35,4.88,22.0
6,Dupont Circle,4956,83,Waterfront,7376,2.1,1.7,1.05,2.99,16.0
6,Dupont Circle,4956,101,West Falls Church-VT/UVA,14118,4.05,2.75,2.0,9.54,32.0
6,Dupont Circle,4956,77,West Hyattsville,11886,3.25,2.05,1.6,6.81,22.0
6,Dupont Circle,4956,33,Wheaton,4271,4.45,3.45,2.2,11.0,29.0
6,Dupont Circle,4956,15,White Flint,22094,4.3,3.35,2.15,10.54,20.0
6,Dupont Circle,4956,7,Woodley Park-Zoo/Adams Morgan,4905,2.1,1.7,1.05,0.6,2.0
7,Woodley Park-Zoo/Adams Morgan,4905,92,Addison Road-Seat Pleasant,13107,4.2,3.3,2.1,10.18,34.0
7,Woodley Park-Zoo/Adams Morgan,4905,85,Anacostia,6751,3.0,2.05,1.5,5.77,22.0
7,Woodley Park-Zoo/Adams Morgan,4905,81,Archives-Navy Memorial-Penn Quarter,7477,2.1,1.7,1.05,2.95,14.0
7,Woodley Park-Zoo/Adams Morgan,4905,42,Arlington Cemetery,12926,2.6,2.05,1.3,4.51,20.0
7,Woodley Park-Zoo/Adams Morgan,4905,99,Ballston-MU,12631,3.1,2.05,1.55,6.13,26.0
7,Woodley Park-Zoo/Adams Morgan,4905,90,Benning Road,4613,3.55,2.75,1.75,7.77,28.0
7,Woodley Park-Zoo/Adams Morgan,4905,12,Bethesda,4387,2.65,2.05,1.3,4.75,11.0
7,Woodley Park-Zoo/Adams Morgan,4905,47,Braddock Road,13986,3.95,2.75,1.95,9.3,31.0
7,Woodley Park-Zoo/Adams Morgan,4905,89,Branch Ave,21110,4.55,3.5,2.25,11.36,35.0
7,Woodley Park-Zoo/Adams Morgan,4905,27,Brookland-CUA,4710,2.65,2.05,1.3,4.79,15.0
7,Woodley Park-Zoo/Adams Morgan,4905,91,Capitol Heights,1305,3.95,2.75,1.95,9.21,31.0
7,Woodley Park-Zoo/Adams Morgan,4905,59,Capitol South,12900,2.45,2.0,1.2,4.18,20.0
