6469565-13,53217360,53083055,125.904774
6469565-12,53219011,53217360,143.390074
6469565-11,53219010,53219011,206.406481
6469565-10,53219009,53219010,169.943819
6435230-19,53186025,53163481,130.365491
6435230-18,53068898,53186025,130.965599
6469565-18,53219013,53061111,66.684804
4869344-0,31430321,32271319,74.375114
4869344-1,32271319,31430313,28.173605
8025228-0,59993282,59993284,128.359335
6515126-0,53224617,53168084,93.349217
6515126-1,53168084,53129320,91.581995
6515126-2,53129320,53089016,88.192127
6515126-3,53089016,53166924,100.783507
6515126-4,53166924,53225177,88.913522
6515126-5,53225177,53114066,98.571762
6515126-6,53114066,53217381,86.694290
6459047-0,53210859,53126061,106.928815
8083060-0,53083679,60562775,117.683077
6513365-1,53204784,53203989,203.065174
6513365-0,53227200,53204784,200.212868
4634847-0,29449867,29449863,89.949854
6353177-0,53091709,53091710,141.617687
6353177-1,53091710,53091712,130.423102
6370476-5,53112817,53112819,111.394350
6419121-0,53138945,53140445,170.548282
6370476-4,53112815,53112817,200.051865
7976628-0,53103997,53023678,79.810764
6431341-0,53109964,53101815,175.440796
6521904-2,53231065,53212695,134.643126
6521904-1,53242051,53231065,98.580393
6521904-0,53176061,53242051,77.949057
22759356-0,53144590,53144582,29.208158
6419121-1,53140445,53173363,412.627748
6477302-0,53219767,53224913,43.732251
9116337-2,67507193,67507197,201.643772
9116337-3,67507197,67507040,157.166728
9116337-0,67506986,67507186,197.726398
9116337-1,67507186,67507193,200.420447
6481166-10,53200837,53168889,133.303489
6481166-11,53168889,53223860,158.477868
6481166-12,53223860,53186029,97.629775
6481166-13,53186029,53126058,100.397320
23781577-1,257678564,257678564,0.000000
23781577-0,257678525,257678564,194.182508
6347562-1,53082260,53081882,111.140951
6347562-0,53082259,53082260,55.570483
6347562-2,53081882,53082262,33.342281
6494443-0,53155077,53210268,92.165911
10561027-1,53174052,91264868,29.538033
10561027-0,91266673,53174052,40.082255
10561027-2,91264868,91266673,27.047286
8026698-0,59999617,59999618,58.264891
6426511-16,53181948,53181949,113.044473
6426511-15,53072521,53181948,425.060510
6426511-14,53181946,53072521,199.922534
6426511-13,53181943,53181946,203.616282
6426511-12,53181942,53181943,83.850623
6426511-11,53181941,53181942,80.572190
6426511-10,53084121,53181941,167.598648
4733126-0,30170583,30171134,120.401581
22717010-0,243649120,243649121,104.856898
10497753-0,53029362,90251447,364.294708
6441381-1,53144067,53196125,236.445623
6441381-0,53196123,53144067,80.380822
6382397-2,53127068,60069234,754.543693
6518129-0,53208059,53198078,159.679306
6518129-1,53198078,53248099,9.957032
8026707-2,53181115,53225159,79.782573
8026707-3,53225159,60000554,79.549520
8026707-0,59999646,53085540,77.182385
8026707-1,53085540,53181115,78.425436
6380768-7,53125143,53125166,89.230772
6515672-0,53205277,53131156,94.293918
6515672-1,53131156,53103400,116.579069
6434062-1,53188971,53188972,55.208713
6434062-0,53188970,53188971,83.707499
8591565-0,31192362,53203978,202.258933
23309681-0,252344913,53218983,1534.468149
15257850-0,151193729,151193732,196.343309
6521771-0,53207169,53230462,126.768731
6335280-0,53045512,53045517,131.805970
6380768-8,53125166,53125167,78.161851
6434029-0,53016996,53188938,140.311394
6343960-2,53068962,53068963,80.445127
6343960-1,53068961,53068962,89.726445
6380768-9,53125167,53125168,88.912958
4635749-0,29462891,29462910,80.081558
4635749-1,29462910,29462909,19.843051
6343957-4,246758571,53068930,50.624761
6441407-0,53196145,53196146,80.098205
6342615-8,59997781,53066598,45.489531
6449722-0,53200323,53202902,68.290640
6394079-0,53141820,53038687,46.851811
6464363-0,53215151,53068366,43.651455
6411979-0,53163583,53163586,18.282324
6464363-1,53068366,53141358,181.184829
6384765-9,53129930,53068481,95.629007
6384765-8,53129929,53129930,131.214905
6464363-2,53141358,53215152,134.715280
6384765-1,53129922,53129923,136.488906
6384765-0,53129921,53129922,132.138040
