X,Y,NUMEROLIGN,CODCOM,COMMUNE,DESIGNATIO,TYPE,STATUT,ADRESSE,CODEPOSTAL,DATE_MAJ,IDT_SOURCE,IDLIGNE
5.43933248411948,43.286355347812425,                   56.0000000000,13211,MARSEILLE,RENE CAILLIE,LP,PUBLIC,173 boulevard de St loup,13396,16/02/2006,0130057S,57
5.477334128472543,43.285616139024505,                   57.0000000000,13211,MARSEILLE,CAMILLE JULLIAN,LP,PUBLIC,50 boulevard de la Barasse,13396,16/02/2006,0130068D,58
5.42085795261867,43.313445655098825,                   58.0000000000,13212,MARSEILLE,BLAISE PASCAL,LP,PUBLIC,49 traverse Capron,13012,16/02/2006,0130059U,59
5.413981252832937,43.324919890894606,                   59.0000000000,13213,MARSEILLE,DENIS DIDEROT,LYT,PUBLIC,23 boulevard Lavéran,13013,07/02/2006,0130050J,60
5.423238196309653,43.340914823372444,                   60.0000000000,13213,MARSEILLE,ANTONIN ARTAUD,LYP,PUBLIC,Ch. Notre Dame de la Consolation,13013,16/02/2006,0132733A,61
5.375766884965657,43.336831734142812,                   61.0000000000,13214,MARSEILLE,LA FLORIDE,LP,PUBLIC,54 boulevard Gay Lussac Z.I.N. 903,13333,09/02/2006,0130056R,62
5.353749997987167,43.346361801913233,                   62.0000000000,13215,MARSEILLE,SAINT-EXUPERY,LYP,PUBLIC,529 Chemin de la Madrague Ville,13015,07/02/2006,0130048G,63
5.35548544649764,43.359031867414906,                   63.0000000000,13215,MARSEILLE,LA VISTE,LP,PUBLIC,Traverse Bonnet,13015,09/02/2006,0130065A,64
5.353781241487037,43.342017334081156,                   64.0000000000,13215,MARSEILLE,LA CALADE,LP,PUBLIC,430 Chemin de la Madrague Ville,13015,09/02/2006,0131606A,65
5.325344384243288,43.362448250876376,                   65.0000000000,13216,MARSEILLE,L'ESTAQUE,LP,PUBLIC,310 rue Rabelais,13016,09/02/2006,0130058T,66
5.506138103048541,43.709308089351389,                   66.0000000000,84089,PERTUIS,VAL DE DURANCE,LYP,PUBLIC,Route de l'Etang de la Bonde,84120,07/02/2006,0840918S,67
5.23543754628303,43.396411601029556,                   67.0000000000,13043,GIGNAC-LA-NERTHE,SAINT LOUIS STE MARIE,LYCEE,PRIVE,,,,,68
5.371963456976665,43.406746115362253,                   68.0000000000,13106,SEPTEMES-LES-VALLONS,SAINTE ELIZABETH,LYCEE,PRIVE,TRA DU STADE - CAILLOLS,,,0131675A,69
5.369336095532558,43.303958268914847,                   69.0000000000,13202,MARSEILLE,LA JOLIETTE,LYCEE,PRIVE,RUE VINCENT LEBLANC,,,,70
5.372189228847138,43.304266767247974,                   70.0000000000,13202,MARSEILLE,BELSUNCE (FREDERIC OZANAM),LYCEE,PRIVE,RUE FAUCHIER,,,0133286B,71
5.369154985180226,43.303862791824521,                   71.0000000000,13202,MARSEILLE,LA JOLIETTE,LYCEE,PRIVE,RUE VINCENT LEBLANC,,,,72
5.394961898200036,43.300917004122972,                   72.0000000000,13204,MARSEILLE,ST JOSEPH DE LA MADELEINE,LYCEE,PRIVE,BD DE LA LIBERATION,,,0131339K,73
5.397895395172284,43.298399571280065,                   73.0000000000,13204,MARSEILLE,E.F.E.T.,LYCEE,PRIVE,RUE EDMOND DANTES,,,,74
5.40203521032192,43.302717665474447,                   74.0000000000,13204,MARSEILLE,CHEVREUL BLANCARDE,LYCEE,PRIVE,RUE ST FRANCOIS DE SALES,,,0131335F,75
5.406170497823163,43.304726704867363,                   75.0000000000,13204,MARSEILLE,SAINTE MARIE,LYCEE,PRIVE,BD DE LA BLANCARDE,,,,76
5.387345457936547,43.296578288000575,                   76.0000000000,13205,MARSEILLE,SAINT MICHEL (ANN. ST CH. CAMAS),LYCEE,PRIVE,RUE SAINT SAVOURNIN,,,0131441W,77
5.3938777176372,43.298204743896378,                   77.0000000000,13205,MARSEILLE,SAINT CHARLES CAMAS,LYCEE,PRIVE,RUE DU CAMAS,,,0131342N,78
5.377227689420456,43.284606122371358,                   78.0000000000,13206,MARSEILLE,NOTRE DAME DE FRANCE,LYCEE,PRIVE,RUE BRETEUIL,,,0131333D,79
5.374417933763325,43.288293584828907,                   79.0000000000,13206,MARSEILLE,CHARLES PEGUY,LYCEE,PRIVE,RUE SYLVABELLE,,,0133276R,80
5.374469105114628,43.288408649633489,                   80.0000000000,13206,MARSEILLE,CHARLES PEGUY,LYCEE,PRIVE,RUE SYLVABELLE,,,0131402D,81
5.377256962740614,43.28943920173085,                   81.0000000000,13206,MARSEILLE,PHOCEA ATTOYAN,LYCEE,PRIVE,RUE D'ARCOLE,,,0131437S,82
5.37891163907412,43.285566064634928,                   82.0000000000,13206,MARSEILLE,DON BOSCO,LYCEE,PRIVE,RUE STANISLAS TORRENTS,,,0133396W,83
