X,Y,NUMEROLIGN,IDT_SOURCE,CODCOM,COMMUNE,STATUT_,DESIGNATIO,CENTROIDX,CENTROIDY,COMMUNES,TOTAL,TOTAL_R,IDLIGNE
5.089985225330537,43.637211712597797,                   56.0000000000,0133492A,,SALON-DE-PROVENCE,PUBLIC,JEAN BERNARD,,,SALON,645,                  645.0000000000,52
5.093655378122604,43.636753952559481,                   57.0000000000,0131265E,,SALON-DE-PROVENCE,PUBLIC,JEAN MOULIN,,,SALON,439,                  439.0000000000,53
5.10118210108907,43.628325113529243,                   58.0000000000,0130163G,,SALON-DE-PROVENCE,PUBLIC,JOSEPH D'ARBAUD,,,SALON,864,                  864.0000000000,54
5.093286480051379,43.64483816315132,                   59.0000000000,0131349W,,SALON-DE-PROVENCE,PRIVE,LA PRESENTATION,,,SALON DE PROVENCE,750,                  750.0000000000,55
5.571818582648463,43.291474706524802,                   60.0000000000,0131364M,,AUBAGNE,PRIVE,SAINTE MARIE,,,AUBAGNE,369,                  369.0000000000,56
5.230675785656461,43.397941645993747,                   61.0000000000,0131367R,,GIGNAC-LA-NERTHE,PR,ST LOUIS,,,GIGNAC LA NERTHE,253,                  253.0000000000,57
5.227835219766699,43.414192641162607,                   62.0000000000,0132921E,,MARIGNANE,PR,STE MARIE,,,MARIGNANE,767,                  767.0000000000,58
5.385362335501494,43.301838097945058,                   63.0000000000,0130079R,                13204.0000000000,MARSEILLE,PUBLIC,CHAPE,,,MARSEILLE 04,417,                  417.0000000000,59
5.394500719915906,43.306651639398126,                   64.0000000000,0132315W,                13204.0000000000,MARSEILLE,PUBLIC,LES CHARTREUX,,,MARSEILLE 04,469,                  469.0000000000,60
5.459584948624574,43.338190407271185,                   65.0000000000,0133449Y,                13002.0000000000,ALLAUCH,PUBLIC,YVES MONTAND,,,,987,                  987.0000000000,61
5.527831664093995,43.233562781773152,                   66.0000000000,0132324F,                13022.0000000000,CASSIS,PUBLIC,Gilbert RASTOIN,,,CASSIS,526,                  526.0000000000,62
5.168514442972003,43.382772352545324,                   67.0000000000,0132494R,                13026.0000000000,CHATEAUNEUF-LES-MARTIGUES,PUBLIC,LES AMANDEIRETS,,,CHATEAUNEUF,611,                  611.0000000000,63
5.604452301885786,43.180147466358065,                   68.0000000000,0131883B,                13028.0000000000,LA CIOTAT,PUBLIC,JEAN JAURES,,,LA CIOTAT,467,                  467.0000000000,64
5.596215617551345,43.187809341656695,                   69.0000000000,0130022D,                13028.0000000000,LA CIOTAT,PUBLIC,VIREBELLE (QUARTIER),,,LA CIOTAT,599,                  599.0000000000,65
5.609809083432047,43.195347810677148,                   70.0000000000,0132786H,                13028.0000000000,LA CIOTAT,PUBLIC,LES MATAGOTS,,,LA CIOTAT,634,                  634.0000000000,66
5.614906855437018,43.29064870358139,                   71.0000000000,0133351X,                13042.0000000000,GEMENOS,PUBLIC,JEAN DE LA FONTAINE,,,GEMENOS,643,                  643.0000000000,67
5.222058200725193,43.392217314827583,                   72.0000000000,0133381E,                13043.0000000000,GIGNAC-LA-NERTHE,PUBLIC,LE PETIT PRINCE,,,GIGNAC LA NERTHE,616,                  616.0000000000,68
5.231083389130803,43.398667688207894,                   73.0000000000,0131367R,                13043.0000000000,GIGNAC-LA-NERTHE,PRIVE,SAINT LOUIS,,,GIGNAC LA NERTHE,253,                  253.0000000000,69
5.220475529805626,43.406234966169464,                   74.0000000000,0131608C,                13054.0000000000,MARIGNANE,PUBLIC,EMILIE DE MIRABEAU,,,MARIGNANE,682,                  682.0000000000,70
5.199836082017439,43.413308152711146,                   75.0000000000,0131607B,                13054.0000000000,MARIGNANE,PUBLIC,GEORGES BRASSENS,,,MARIGNANE,658,                  658.0000000000,71
5.231424876645096,43.413796796981508,                   76.0000000000,0132921E,                13054.0000000000,MARIGNANE,PRIVE,SAINTE MARIE,,,MARIGNANE,767,                  767.0000000000,72
5.227254047561372,43.41905719661969,                   77.0000000000,0132007L,                13102.0000000000,SAINT-VICTORET,PUBLIC,JACQUES PRÉVERT,,,SAINT VICTORET,507,                  507.0000000000,73
5.097197584841901,43.341247712293281,                   78.0000000000,0133449D,                13104.0000000000,SAUSSET-LES-PINS,PUBLIC,PIERRE MATRAJA,,,SAUSSET LES PINS,762,                  762.0000000000,74
5.547704445689961,43.253156372310194,                   79.0000000000,0133335E,                13119.0000000000,CARNOUX-EN-PROVENCE,PRIVE,SAINT AUGUSTIN,,,CARNOUX,318,                  318.0000000000,75
5.377758833827848,43.298716809032221,                   80.0000000000,0131931D,                13201.0000000000,MARSEILLE,PUBLIC,THIERS,,,MARSEILLE 01,436,                  436.0000000000,76
5.384136854534116,43.304998218201995,                   81.0000000000,0131932E,                13201.0000000000,MARSEILLE,PUBLIC,LONGCHAMP,,,MARSEILLE 01,533,                  533.0000000000,77
5.381601035753308,43.299619407683352,                   82.0000000000,0132950L,                13201.0000000000,MARSEILLE,PRIVE,SACRE COEUR,,,MARSEILLE 01,225,                  225.0000000000,78
